Payment ID,User ID,Plan,Amount (USD),Status,Method,Created Date,Daimo Payment ID
"intent_9kAKk6AhtNNx7Bui1V7bMHiLtANfTDp6Qs4wHPHCpEFW",7901549957,"diamond-member",99.99,"payment_completed",daimo,Invalid Date,"N/A"
"9kAKk6AhtNNx7Bui1V7bMHiLtANfTDp6Qs4wHPHCpEFW",7901549957,"diamond-member",99.99,"payment_completed",daimo,Invalid Date,"N/A"
"35vT11rdrkEheRnYRsgHqxy6no3x6CLBqKGA9M4iktep",7901549957,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"intent_5eL8kXvoyPJLx9g9pmXPk6mEC4uet3QycjuZ1KHs8WpF",8094227728,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"5eL8kXvoyPJLx9g9pmXPk6mEC4uet3QycjuZ1KHs8WpF",8094227728,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"intent_AECdU65XpYkTrGLY4VY5Q5Ecfu6ZruCbPvzj8zGpM26Y",5836948764,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"AECdU65XpYkTrGLY4VY5Q5Ecfu6ZruCbPvzj8zGpM26Y",5836948764,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"intent_B6p5qbuRLoQft6J7VaAwhi19VWRRMLd4iusTKjsLnH6f",8094227728,"trial-pass",14.99,"payment_completed",daimo,Invalid Date,"N/A"
"B6p5qbuRLoQft6J7VaAwhi19VWRRMLd4iusTKjsLnH6f",8094227728,"trial-pass",14.99,"payment_completed",daimo,Invalid Date,"N/A"
"intent_5syTKDefnYLdVZvrDPbbXRtv85qhwyKgCZr3JaWk6bkf",5300629415,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"5syTKDefnYLdVZvrDPbbXRtv85qhwyKgCZr3JaWk6bkf",5300629415,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"intent_3sX282E89onS914N6cYHv5nG8hRK39VWWXd2LAWnpt53",8433276659,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"3sX282E89onS914N6cYHv5nG8hRK39VWWXd2LAWnpt53",8433276659,"test-1usd",1,"payment_completed",daimo,Invalid Date,"N/A"
"intent_AMa736ZUm726SV8PDHWjmPG6131FLNco3HNE4gC7ZDi4",7568442975,"trial-pass",14.99,"payment_completed",daimo,Invalid Date,"N/A"
